pair,k,stage,op,tool,threads,sec,rss_mb,result_kmers
ecoliK12_UTI89,21,setop,union_size,sklib,8,0.021,6,7180506
ecoliK12_UTI89,21,setop,diff_size,sklib,8,0.023,6,2083391
ecoliK12_UTI89,21,setop,inter,sklib,22,0.044,14,2460500
ecoliK12_UTI89,21,setop,union,sklib,22,0.101,27,7180506
ecoliK12_UTI89,21,setop,diff,sklib,22,0.044,13,2083391
ecoliK12_UTI89,21,setop,inter_size,sklib,22,0.015,8,2460500
ecoliK12_UTI89,21,setop,union_size,sklib,22,0.015,8,7180506
ecoliK12_UTI89,21,setop,diff_size,sklib,22,0.015,9,2083391
ecoliK12_UTI89,21,build,A,kmc,1,0.476,69,NA
ecoliK12_UTI89,21,build,B,kmc,1,0.527,74,NA
ecoliK12_UTI89,21,setop,inter,kmc,1,0.226,91,2460500
ecoliK12_UTI89,21,setop,union,kmc,1,0.230,97,7180506
ecoliK12_UTI89,21,setop,diff,kmc,1,0.230,89,2083391
ecoliK12_UTI89,21,build,A,kmc,22,0.298,73,NA
ecoliK12_UTI89,21,build,B,kmc,22,0.309,77,NA
ecoliK12_UTI89,21,setop,inter,kmc,22,0.274,381,2460500
ecoliK12_UTI89,21,setop,union,kmc,22,0.304,391,7180506
ecoliK12_UTI89,21,setop,diff,kmc,22,0.289,380,2083391
ecoliK12_UTI89,21,build,A,fmsi,1,2.374,82,NA
ecoliK12_UTI89,21,build,B,fmsi,1,2.837,91,NA
ecoliK12_UTI89,21,setop,inter,fmsi,1,9.305,480,2460500
ecoliK12_UTI89,21,setop,union,fmsi,1,17.508,576,7180506
ecoliK12_UTI89,21,setop,diff,fmsi,1,26.152,534,2083391
ecoliSakai_IAI39,21,build,A,sklib,22,0.488,20,NA
ecoliSakai_IAI39,21,build,B,sklib,22,0.459,20,NA
ecoliSakai_IAI39,21,setop,inter,sklib,1,0.312,6,2671981
ecoliSakai_IAI39,21,setop,union,sklib,1,0.759,6,7529724
ecoliSakai_IAI39,21,setop,diff,sklib,1,0.306,5,2630401
ecoliSakai_IAI39,21,setop,inter_size,sklib,1,0.091,5,2671981
ecoliSakai_IAI39,21,setop,union_size,sklib,1,0.091,5,7529724
ecoliSakai_IAI39,21,setop,diff_size,sklib,1,0.090,5,2630401
ecoliSakai_IAI39,21,setop,inter,sklib,4,0.098,7,2671981
ecoliSakai_IAI39,21,setop,union,sklib,4,0.224,10,7529724
ecoliSakai_IAI39,21,setop,diff,sklib,4,0.101,7,2630401
ecoliSakai_IAI39,21,setop,inter_size,sklib,4,0.036,6,2671981
ecoliSakai_IAI39,21,setop,union_size,sklib,4,0.033,6,7529724
ecoliSakai_IAI39,21,setop,diff_size,sklib,4,0.034,6,2630401
ecoliSakai_IAI39,21,setop,inter,sklib,8,0.060,9,2671981
ecoliSakai_IAI39,21,setop,union,sklib,8,0.142,14,7529724
ecoliSakai_IAI39,21,setop,diff,sklib,8,0.061,9,2630401
ecoliSakai_IAI39,21,setop,inter_size,sklib,8,0.023,7,2671981
ecoliSakai_IAI39,21,setop,union_size,sklib,8,0.023,7,7529724
ecoliSakai_IAI39,21,setop,diff_size,sklib,8,0.023,7,2630401
ecoliSakai_IAI39,21,setop,inter,sklib,22,0.049,16,2671981
ecoliSakai_IAI39,21,setop,union,sklib,22,0.106,29,7529724
ecoliSakai_IAI39,21,setop,diff,sklib,22,0.052,15,2630401
ecoliSakai_IAI39,21,setop,inter_size,sklib,22,0.014,9,2671981
ecoliSakai_IAI39,21,setop,union_size,sklib,22,0.015,9,7529724
ecoliSakai_IAI39,21,setop,diff_size,sklib,22,0.014,9,2630401
ecoliSakai_IAI39,21,build,A,kmc,1,0.576,77,NA
ecoliSakai_IAI39,21,build,B,kmc,1,0.501,73,NA
ecoliSakai_IAI39,21,setop,inter,kmc,1,0.239,94,2671981
ecoliSakai_IAI39,21,setop,union,kmc,1,0.238,99,7529724
ecoliSakai_IAI39,21,setop,diff,kmc,1,0.229,94,2630401
ecoliSakai_IAI39,21,build,A,kmc,22,0.316,79,NA
ecoliSakai_IAI39,21,build,B,kmc,22,0.321,76,NA
ecoliSakai_IAI39,21,setop,inter,kmc,22,0.275,393,2671981
ecoliSakai_IAI39,21,setop,union,kmc,22,0.299,404,7529724
ecoliSakai_IAI39,21,setop,diff,kmc,22,0.279,394,2630401
ecoliSakai_IAI39,21,build,A,fmsi,1,3.133,96,NA
ecoliSakai_IAI39,21,build,B,fmsi,1,2.796,88,NA
ecoliSakai_IAI39,21,setop,inter,fmsi,1,10.166,485,2671981
ecoliSakai_IAI39,21,setop,union,fmsi,1,18.551,579,7529724
ecoliSakai_IAI39,21,setop,diff,fmsi,1,26.955,632,2630401
chr21_chr22,21,build,A,sklib,22,3.497,62,NA
chr21_chr22,21,build,B,sklib,22,3.379,56,NA
chr21_chr22,21,setop,inter,sklib,1,0.8285,7,1552757
chr21_chr22,21,setop,union,sklib,1,7.2025,16,61906026
chr21_chr22,21,setop,diff,sklib,1,3.723,11,31167728
chr21_chr22,21,setop,inter_size,sklib,1,0.631,6,1552757
chr21_chr22,21,setop,union_size,sklib,1,0.6385,6,61906026
chr21_chr22,21,setop,diff_size,sklib,1,0.6365,6,31167728
chr21_chr22,21,setop,inter,sklib,4,0.235,11,1552757
chr21_chr22,21,setop,union,sklib,4,2.1115,48,61906026
chr21_chr22,21,setop,diff,sklib,4,1.0965,28,31167728
chr21_chr22,21,setop,inter_size,sklib,4,0.1965,11,1552757
chr21_chr22,21,setop,union_size,sklib,4,0.1885,11,61906026
chr21_chr22,21,setop,diff_size,sklib,4,0.189,10,31167728
chr21_chr22,21,setop,inter,sklib,8,0.1425,18,1552757
chr21_chr22,21,setop,union,sklib,8,1.304,85,61906026
chr21_chr22,21,setop,diff,sklib,8,0.6805,49,31167728
chr21_chr22,21,setop,inter_size,sklib,8,0.1315,15,1552757
chr21_chr22,21,setop,union_size,sklib,8,0.128,15,61906026
chr21_chr22,21,setop,diff_size,sklib,8,0.1315,16,31167728
chr21_chr22,21,setop,inter,sklib,22,0.094,38,1552757
chr21_chr22,21,setop,union,sklib,22,0.8655,209,61906026
chr21_chr22,21,setop,diff,sklib,22,0.458,121,31167728
chr21_chr22,21,setop,inter_size,sklib,22,0.079,33,1552757
chr21_chr22,21,setop,union_size,sklib,22,0.078,32,61906026
chr21_chr22,21,setop,diff_size,sklib,22,0.0795,36,31167728
chr21_chr22,21,build,A,kmc,1,2.762,333,NA
chr21_chr22,21,build,B,kmc,1,2.609,328,NA
chr21_chr22,21,setop,inter,kmc,1,1.282,344,1552757
chr21_chr22,21,setop,union,kmc,1,1.3095,386,61906026
chr21_chr22,21,setop,diff,kmc,1,1.261,385,31167728
chr21_chr22,21,build,A,kmc,22,0.761,337,NA
chr21_chr22,21,build,B,kmc,22,0.759,332,NA
chr21_chr22,21,setop,inter,kmc,22,0.968,1407,1552757
chr21_chr22,21,setop,union,kmc,22,1.1065,1451,61906026
chr21_chr22,21,setop,diff,kmc,22,1.0275,1443,31167728
chr21_chr22,21,build,A,fmsi,1,26.125,591,NA
chr21_chr22,21,build,B,fmsi,1,25.511,596,NA
chr21_chr22,21,setop,inter,fmsi,1,55.197,3489,1552757
chr21_chr22,21,setop,union,fmsi,1,166.649,4498,61906026
chr21_chr22,21,setop,diff,fmsi,1,261.123,4654,31167728
chr20_chr21,21,build,A,sklib,22,5.488,102,NA
chr20_chr21,21,build,B,sklib,22,3.499,62,NA
chr20_chr21,21,setop,inter,sklib,1,1.013,7,1195953
chr20_chr21,21,setop,union,sklib,1,10.165,24,85430308
chr20_chr21,21,setop,diff,sklib,1,6.1555,15,52709823
chr20_chr21,21,setop,inter_size,sklib,1,0.8505,7,1195953
chr20_chr21,21,setop,union_size,sklib,1,0.8475,7,85430308
chr20_chr21,21,setop,diff_size,sklib,1,0.847,7,52709823
chr20_chr21,21,setop,inter,sklib,4,0.2815,13,1195953
chr20_chr21,21,setop,union,sklib,4,2.9505,64,85430308
chr20_chr21,21,setop,diff,sklib,4,1.8695,44,52709823
chr20_chr21,21,setop,inter_size,sklib,4,0.2685,13,1195953
chr20_chr21,21,setop,union_size,sklib,4,0.254,12,85430308
chr20_chr21,21,setop,diff_size,sklib,4,0.256,12,52709823
chr20_chr21,21,setop,inter,sklib,8,0.1765,22,1195953
chr20_chr21,21,setop,union,sklib,8,1.8275,121,85430308
chr20_chr21,21,setop,diff,sklib,8,1.1475,81,52709823
chr20_chr21,21,setop,inter_size,sklib,8,0.1655,19,1195953
chr20_chr21,21,setop,union_size,sklib,8,0.1795,20,85430308
chr20_chr21,21,setop,diff_size,sklib,8,0.1705,19,52709823
chr20_chr21,21,setop,inter,sklib,22,0.1125,47,1195953
chr20_chr21,21,setop,union,sklib,22,1.2405,299,85430308
chr20_chr21,21,setop,diff,sklib,22,0.7745,196,52709823
chr20_chr21,21,setop,inter_size,sklib,22,0.107,42,1195953
chr20_chr21,21,setop,union_size,sklib,22,0.1075,43,85430308
chr20_chr21,21,setop,diff_size,sklib,22,0.1055,42,52709823
chr20_chr21,21,build,A,kmc,1,4.362,523,NA
chr20_chr21,21,build,B,kmc,1,2.682,334,NA
chr20_chr21,21,setop,inter,kmc,1,1.903,453,1195953
chr20_chr21,21,setop,union,kmc,1,1.976,496,85430308
chr20_chr21,21,setop,diff,kmc,1,2.016,496,52709823
chr20_chr21,21,build,A,kmc,22,0.965,527,NA
chr20_chr21,21,build,B,kmc,22,0.760,337,NA
chr20_chr21,21,setop,inter,kmc,22,1.197,1719,1195953
chr20_chr21,21,setop,union,kmc,22,1.284,1772,85430308
chr20_chr21,21,setop,diff,kmc,22,1.2315,1764,52709823
chr1_mut1pct,21,build,A,sklib,22,20.404,403,NA
chr1_mut1pct,21,build,B,sklib,22,19.851,404,NA
chr1_mut1pct,21,setop,inter,sklib,1,20.636,43,155091380
chr1_mut1pct,21,setop,union,sklib,1,29.741,55,229601418
chr1_mut1pct,21,setop,diff,sklib,1,6.393,19,34710844
chr1_mut1pct,21,setop,inter_size,sklib,1,3.007,15,155091380
chr1_mut1pct,21,setop,union_size,sklib,1,2.966,15,229601418
chr1_mut1pct,21,setop,diff_size,sklib,1,2.932,15,34710844
chr1_mut1pct,21,setop,inter,sklib,4,6.196,143,155091380
chr1_mut1pct,21,setop,union,sklib,4,9.160,189,229601418
chr1_mut1pct,21,setop,diff,sklib,4,1.926,61,34710844
chr1_mut1pct,21,setop,inter_size,sklib,4,0.993,41,155091380
chr1_mut1pct,21,setop,union_size,sklib,4,0.920,41,229601418
chr1_mut1pct,21,setop,diff_size,sklib,4,0.911,41,34710844
chr1_mut1pct,21,setop,inter,sklib,8,3.911,276,155091380
chr1_mut1pct,21,setop,union,sklib,8,5.723,367,229601418
chr1_mut1pct,21,setop,diff,sklib,8,1.239,114,34710844
chr1_mut1pct,21,setop,inter_size,sklib,8,0.603,76,155091380
chr1_mut1pct,21,setop,union_size,sklib,8,0.621,76,229601418
chr1_mut1pct,21,setop,diff_size,sklib,8,0.620,75,34710844
chr1_mut1pct,21,setop,inter,sklib,22,2.568,686,155091380
chr1_mut1pct,21,setop,union,sklib,22,3.680,898,229601418
chr1_mut1pct,21,setop,diff,sklib,22,0.804,287,34710844
chr1_mut1pct,21,setop,inter_size,sklib,22,0.399,192,155091380
chr1_mut1pct,21,setop,union_size,sklib,22,0.404,186,229601418
chr1_mut1pct,21,setop,diff_size,sklib,22,0.412,185,34710844
chr1_mut1pct,21,build,A,kmc,1,14.798,1769,NA
chr1_mut1pct,21,build,B,kmc,1,14.656,1782,NA
chr1_mut1pct,21,setop,inter,kmc,1,6.450,1917,155091380
chr1_mut1pct,21,setop,union,kmc,1,6.689,1917,229601418
chr1_mut1pct,21,setop,diff,kmc,1,6.110,1917,34710844
chr1_mut1pct,21,build,A,kmc,22,2.142,1768,NA
chr1_mut1pct,21,build,B,kmc,22,2.199,1779,NA
chr1_mut1pct,21,setop,inter,kmc,22,2.677,4353,155091380
chr1_mut1pct,21,setop,union,kmc,22,3.149,4354,229601418
chr1_mut1pct,21,setop,diff,kmc,22,2.608,4353,34710844
