label,kA,kB,k,m,tool,action,sec,rss_mb,result_kmers,bytes,thr_Mkmer_s,bits_per_kmer
celegans_mut1,91222416,93143755,21,11,sklib,diff,4.4505,9,16787707,72865256,41.426,34.7231
celegans_mut1,91222416,93143755,21,11,sklib,diff_size,1.9915,8,16787707,0,92.577,0.0000
celegans_mut1,91222416,93143755,21,11,kmc,build_A,6.346,777,91222416,461355060,14.375,40.4598
celegans_mut1,91222416,93143755,21,11,kmc,build_B,6.569,784,93143755,470961755,14.179,40.4503
celegans_mut1,91222416,93143755,21,11,kmc,inter,5.9845,961,74434709,299836072,30.807,32.2254
celegans_mut1,91222416,93143755,21,11,kmc,union,6.221,961,109931462,441823084,29.636,32.1526
celegans_mut1,91222416,93143755,21,11,kmc,diff,5.555,945,16787707,69248064,33.189,32.9994
celegans_mut1,91222416,93143755,21,11,cbl,build_A,31.996,1134,91222416,363737164,2.851,31.8989
celegans_mut1,91222416,93143755,21,11,cbl,build_B,31.142,1138,93143755,371883741,2.991,31.9406
celegans_mut1,91222416,93143755,21,11,cbl,inter,9.154,1943,74434709,299255086,20.141,32.1630
celegans_mut1,91222416,93143755,21,11,cbl,union,9.403,2303,109931462,436209748,19.607,31.7441
celegans_mut1,91222416,93143755,21,11,cbl,diff,9.9115,1955,16787707,75166057,18.601,35.8196
chr1_mut1,189802224,194890574,21,11,sklib,build_A,54.453,198,189802224,932503032,3.486,39.3042
chr1_mut1,189802224,194890574,21,11,sklib,build_B,55.010,198,194890574,955725720,3.543,39.2313
chr1_mut1,189802224,194890574,21,11,sklib,inter,29.990,29,155091380,759807480,12.827,39.1928
chr1_mut1,189802224,194890574,21,11,sklib,inter_size,4.293,11,155091380,0,89.609,0.0000
chr1_mut1,189802224,194890574,21,11,sklib,union,43.702,38,229601418,1152162568,8.803,40.1448
chr1_mut1,189802224,194890574,21,11,sklib,union_size,4.289,11,229601418,0,89.693,0.0000
chr1_mut1,189802224,194890574,21,11,sklib,diff,9.513,13,34710844,158756856,40.439,36.5896
chr1_mut1,189802224,194890574,21,11,sklib,diff_size,4.291,11,34710844,0,89.651,0.0000
chr1_mut1,189802224,194890574,21,11,kmc,build_A,14.328,1768,189802224,954254100,13.247,40.2210
chr1_mut1,189802224,194890574,21,11,kmc,build_B,14.444,1782,194890574,979695850,13.493,40.2152
chr1_mut1,189802224,194890574,21,11,kmc,inter,12.269,1918,155091380,622462756,31.355,32.1082
chr1_mut1,189802224,194890574,21,11,kmc,union,12.755,1918,229601418,920502908,30.160,32.0731
chr1_mut1,189802224,194890574,21,11,kmc,diff,11.464,1918,34710844,140940612,33.557,32.4834
chr1_mut1,189802224,194890574,21,11,cbl,build_A,77.196,1843,189802224,758468247,2.459,31.9688
chr1_mut1,189802224,194890574,21,11,cbl,build_B,77.831,1867,194890574,778955449,2.504,31.9751
chr1_mut1,189802224,194890574,21,11,cbl,inter,18.475,2985,155091380,622539279,20.822,32.1121
chr1_mut1,189802224,194890574,21,11,cbl,union,18.740,3673,229601418,914779266,20.528,31.8736
chr1_mut1,189802224,194890574,21,11,cbl,diff,19.751,2997,34710844,148762893,19.477,34.2862
