label,kA,kB,k,m,tool,action,sec,rss_mb,result_kmers,bytes,thr_Mkmer_s,bits_per_kmer
chr21_chr22,32720485,30738298,21,11,cbl,build_B,8.870,302,30738298,132331282,3.465,34.4408
chr21_chr22,32720485,30738298,21,11,cbl,inter,3.3915,474,1552757,8816901,18.711,45.4258
chr21_chr22,32720485,30738298,21,11,cbl,union,3.5735,622,61906026,256966120,17.758,33.2073
chr21_chr22,32720485,30738298,21,11,cbl,diff,2.8275,472,31167728,133852304,22.443,34.3566
chr20_chr21,53905776,32720485,21,11,sklib,build_A,14.640,47,53905776,226123688,3.682,33.5584
chr20_chr21,53905776,32720485,21,11,sklib,build_B,8.986,45,32720485,130129528,3.641,31.8160
chr20_chr21,53905776,32720485,21,11,sklib,inter,1.0215,7,1195953,5944072,84.803,39.7612
chr20_chr21,53905776,32720485,21,11,sklib,inter_size,0.829,7,1195953,0,104.495,0.0000
chr20_chr21,53905776,32720485,21,11,sklib,union,9.059,23,85430308,379600120,9.562,35.5471
chr20_chr21,53905776,32720485,21,11,sklib,union_size,0.8275,7,85430308,0,104.684,0.0000
chr20_chr21,53905776,32720485,21,11,sklib,diff,5.7215,14,52709823,222301512,15.140,33.7397
chr20_chr21,53905776,32720485,21,11,sklib,diff_size,0.831,7,52709823,0,104.243,0.0000
chr20_chr21,53905776,32720485,21,11,kmc,build_A,4.122,523,53905776,274771860,13.078,40.7781
chr20_chr21,53905776,32720485,21,11,kmc,build_B,2.650,333,32720485,168845405,12.347,41.2819
chr20_chr21,53905776,32720485,21,11,kmc,inter,2.745,454,1195953,6881048,31.558,46.0289
chr20_chr21,53905776,32720485,21,11,kmc,union,3.2915,497,85430308,343818468,26.318,32.1964
chr20_chr21,53905776,32720485,21,11,kmc,diff,3.07,497,52709823,212936528,28.217,32.3183
chr20_chr21,53905776,32720485,21,11,cbl,build_A,16.342,415,53905776,224830974,3.299,33.3665
chr20_chr21,53905776,32720485,21,11,cbl,build_B,9.190,302,32720485,140008179,3.560,34.2313
chr20_chr21,53905776,32720485,21,11,cbl,inter,4.6885,561,1195953,6740844,18.476,45.0910
chr20_chr21,53905776,32720485,21,11,cbl,union,4.4425,738,85430308,350655214,19.499,32.8366
chr20_chr21,53905776,32720485,21,11,cbl,diff,3.7575,556,52709823,220192645,23.054,33.4196
