label,k,m,tool,mode,action,threads,sec,rss_mb,result_kmers
ecoliK12_Sakai,31,21,kmc,combined,materialize,4,0.272,158,14289118
ecoliK12_Sakai,31,21,kmc,sequential,materialize,4,0.970,119,14289118
chr21_chr22,31,21,sklib,build,buildA,4,5.369,50,NA
chr21_chr22,31,21,sklib,build,buildB,4,5.292,56,NA
chr21_chr22,31,21,kmc,build,buildA,4,0.999,638,NA
chr21_chr22,31,21,kmc,build,buildB,4,1.024,630,NA
chr21_chr22,31,21,sklib,combined,materialize,4,4.3,74,133240714
chr21_chr22,31,21,sklib,sequential,materialize,4,4.915,50,133240714
chr21_chr22,31,21,sklib,combined,sizes,4,0.235,10,133240714
chr21_chr22,31,21,sklib,sequential,sizes,4,0.901,10,133240714
chr21_chr22,31,21,kmc,combined,materialize,4,1.6295,762,133240714
chr21_chr22,31,21,kmc,sequential,materialize,4,6.450,609,133240714
chr20_chr21,31,21,sklib,build,buildA,4,9.034,55,NA
chr20_chr21,31,21,sklib,build,buildB,4,5.324,50,NA
chr20_chr21,31,21,kmc,build,buildA,4,1.470,980,NA
chr20_chr21,31,21,kmc,build,buildB,4,1.012,645,NA
chr20_chr21,31,21,sklib,combined,materialize,4,5.791,98,182543748
chr20_chr21,31,21,sklib,sequential,materialize,4,6.660,67,182543748
chr20_chr21,31,21,sklib,combined,sizes,4,0.2745,11,182543748
chr20_chr21,31,21,sklib,sequential,sizes,4,1.105,11,182543748
chr20_chr21,31,21,kmc,combined,materialize,4,2.5295,942,182543748
chr20_chr21,31,21,kmc,sequential,materialize,4,9.438,793,182543748
chr1_mut1pct,31,21,sklib,build,buildA,4,31.312,146,NA
chr1_mut1pct,31,21,sklib,build,buildB,4,30.972,166,NA
chr1_mut1pct,31,21,kmc,build,buildA,4,4.160,3434,NA
chr1_mut1pct,31,21,kmc,build,buildB,4,4.169,3447,NA
chr1_mut1pct,31,21,sklib,combined,materialize,4,17.099,292,526640292
chr1_mut1pct,31,21,sklib,sequential,materialize,4,22.619,189,526640292
chr1_mut1pct,31,21,sklib,combined,sizes,4,1.210,34,526640292
chr1_mut1pct,31,21,sklib,sequential,sizes,4,4.753,35,526640292
chr1_mut1pct,31,21,kmc,combined,materialize,4,10.448,2704,526640292
chr1_mut1pct,31,21,kmc,sequential,materialize,4,37.424,2511,526640292
ecoliK12_Sakai,31,21,sklib,build,buildA,8,0.658,23,NA
ecoliK12_Sakai,31,21,sklib,build,buildB,8,0.771,25,NA
ecoliK12_Sakai,31,21,kmc,build,buildA,8,0.338,104,NA
ecoliK12_Sakai,31,21,kmc,build,buildB,8,0.337,117,NA
ecoliK12_Sakai,31,21,sklib,combined,materialize,8,0.350,19,14289118
ecoliK12_Sakai,31,21,sklib,sequential,materialize,8,0.460,14,14289118
ecoliK12_Sakai,31,21,sklib,combined,sizes,8,0.031,6,14289118
ecoliK12_Sakai,31,21,sklib,sequential,sizes,8,0.125,6,14289118
ecoliK12_Sakai,31,21,kmc,combined,materialize,8,0.300,157,14289118
ecoliK12_Sakai,31,21,kmc,sequential,materialize,8,1.138,120,14289118
chr21_chr22,31,21,sklib,build,buildA,8,4.952,50,NA
chr21_chr22,31,21,sklib,build,buildB,8,4.809,56,NA
chr21_chr22,31,21,kmc,build,buildA,8,0.874,616,NA
chr21_chr22,31,21,kmc,build,buildB,8,0.856,611,NA
chr21_chr22,31,21,sklib,combined,materialize,8,3.034,135,133240714
chr21_chr22,31,21,sklib,sequential,materialize,8,3.692,86,133240714
chr21_chr22,31,21,sklib,combined,sizes,8,0.172,15,133240714
chr21_chr22,31,21,sklib,sequential,sizes,8,0.717,15,133240714
chr21_chr22,31,21,kmc,combined,materialize,8,1.907,763,133240714
chr21_chr22,31,21,kmc,sequential,materialize,8,6.437,610,133240714
chr20_chr21,31,21,sklib,build,buildA,8,7.578,55,NA
chr20_chr21,31,21,sklib,build,buildB,8,4.793,50,NA
chr20_chr21,31,21,kmc,build,buildA,8,1.056,957,NA
chr20_chr21,31,21,kmc,build,buildB,8,0.772,604,NA
chr20_chr21,31,21,sklib,combined,materialize,8,3.6925,183,182543748
chr20_chr21,31,21,sklib,sequential,materialize,8,4.311,118,182543748
chr20_chr21,31,21,sklib,combined,sizes,8,0.2025,17,182543748
chr20_chr21,31,21,sklib,sequential,sizes,8,0.755,18,182543748
chr20_chr21,31,21,kmc,combined,materialize,8,2.6425,943,182543748
chr20_chr21,31,21,kmc,sequential,materialize,8,9.976,794,182543748
chr1_mut1pct,31,21,sklib,build,buildA,8,28.467,155,NA
chr1_mut1pct,31,21,sklib,build,buildB,8,28.582,165,NA
chr1_mut1pct,31,21,kmc,build,buildA,8,2.697,3327,NA
chr1_mut1pct,31,21,kmc,build,buildB,8,2.723,3322,NA
chr1_mut1pct,31,21,sklib,combined,materialize,8,11.913,539,526640292
chr1_mut1pct,31,21,sklib,sequential,materialize,8,14.695,341,526640292
chr1_mut1pct,31,21,sklib,combined,sizes,8,0.757,62,526640292
chr1_mut1pct,31,21,sklib,sequential,sizes,8,3.014,63,526640292
chr1_mut1pct,31,21,kmc,combined,materialize,8,8.220,2706,526640292
chr1_mut1pct,31,21,kmc,sequential,materialize,8,31.651,2513,526640292
ecoliK12_Sakai,31,21,sklib,build,buildA,22,0.577,23,NA
ecoliK12_Sakai,31,21,sklib,build,buildB,22,0.691,26,NA
ecoliK12_Sakai,31,21,kmc,build,buildA,22,0.300,101,NA
ecoliK12_Sakai,31,21,kmc,build,buildB,22,0.310,122,NA
ecoliK12_Sakai,31,21,sklib,combined,materialize,22,0.243,43,14289118
ecoliK12_Sakai,31,21,sklib,sequential,materialize,22,0.337,28,14289118
ecoliK12_Sakai,31,21,sklib,combined,sizes,22,0.019,8,14289118
ecoliK12_Sakai,31,21,sklib,sequential,sizes,22,0.070,8,14289118
ecoliK12_Sakai,31,21,kmc,combined,materialize,22,0.383,428,14289118
ecoliK12_Sakai,31,21,kmc,sequential,materialize,22,1.265,403,14289118
chr21_chr22,31,21,sklib,build,buildA,22,4.743,69,NA
chr21_chr22,31,21,sklib,build,buildB,22,4.462,60,NA
chr21_chr22,31,21,kmc,build,buildA,22,0.716,516,NA
chr21_chr22,31,21,kmc,build,buildB,22,0.743,545,NA
chr21_chr22,31,21,sklib,combined,materialize,22,1.8805,342,133240714
chr21_chr22,31,21,sklib,sequential,materialize,22,2.340,203,133240714
chr21_chr22,31,21,sklib,combined,sizes,22,0.123,30,133240714
chr21_chr22,31,21,sklib,sequential,sizes,22,0.475,31,133240714
chr21_chr22,31,21,kmc,combined,materialize,22,1.6835,1733,133240714
chr21_chr22,31,21,kmc,sequential,materialize,22,5.941,1578,133240714
chr20_chr21,31,21,sklib,build,buildA,22,7.777,101,NA
chr20_chr21,31,21,sklib,build,buildB,22,4.789,65,NA
chr20_chr21,31,21,kmc,build,buildA,22,1.003,836,NA
chr20_chr21,31,21,kmc,build,buildB,22,0.727,526,NA
chr20_chr21,31,21,sklib,combined,materialize,22,2.701,467,182543748
chr20_chr21,31,21,sklib,sequential,materialize,22,3.384,280,182543748
chr20_chr21,31,21,sklib,combined,sizes,22,0.1625,39,182543748
chr20_chr21,31,21,sklib,sequential,sizes,22,0.654,39,182543748
chr20_chr21,31,21,kmc,combined,materialize,22,2.1075,2100,182543748
chr20_chr21,31,21,kmc,sequential,materialize,22,7.372,1973,182543748
chr1_mut1pct,31,21,sklib,build,buildA,22,28.545,348,NA
chr1_mut1pct,31,21,sklib,build,buildB,22,28.255,350,NA
chr1_mut1pct,31,21,kmc,build,buildA,22,2.512,2902,NA
chr1_mut1pct,31,21,kmc,build,buildB,22,2.445,2970,NA
chr1_mut1pct,31,21,sklib,combined,materialize,22,8.799,1331,526640292
chr1_mut1pct,31,21,sklib,sequential,materialize,22,10.830,824,526640292
chr1_mut1pct,31,21,sklib,combined,sizes,22,0.634,154,526640292
chr1_mut1pct,31,21,sklib,sequential,sizes,22,2.266,158,526640292
chr1_mut1pct,31,21,kmc,combined,materialize,22,5.732,5060,526640292
chr1_mut1pct,31,21,kmc,sequential,materialize,22,17.802,4884,526640292
